Correo,Codigo_Agenda,Etiqueta
LuzvelOesquez@marmol.com,61596,"Salida con Amigos"
Ricardoborrego@marmol.com,65356,"Salida con Amigos"
AnabenavOAdez@edubus.cal,66017,"Salida con Familia"
veyOear@edubus.cal,67734,Vacaciones
Sanchogrijalva@wass.com,72032,Aniversario
JosOoarce@wass.com,68618,"Salida con Familia"
javier7109@edubus.cal,62478,Aniversario
Miguelcabrera@outluc.com,63981,"Salida con Amigos"
grnalo@edubus.cal,70893,"Cena de Trabajo"
Jorgerubio@viajesanma.com,68425,"Salida con Familia"
Sra.manzanares@wass.com,67364,"Cena de Trabajo"
pilar808@marmol.com,63101,"Cena de Trabajo"
anarnOe@marmol.com,64076,"Cena de Trabajo"
madega@marmol.com,67906,"Cena de Trabajo"
raquel2524@tourket.com,61747,"Salida con Familia"
guadalupe2405@wass.com,69779,"Salida con Amigos"
dolores9456@edubus.cal,64727,"Salida con Familia"
Estebangodoy@marmol.com,66951,Aniversario
Blancamontano@wass.com,65420,Vacaciones
maburu@marmol.com,65151,"Salida con Amigos"
Sta.vallejo@tourket.com,62494,"Salida con Familia"
AlbertogaitOen@outluc.com,71671,Vacaciones
rodelo@marmol.com,65376,"Salida con Amigos"
Sra.aparicio@wass.com,71135,"Salida con Familia"
Sr.porras@viajesanma.com,65035,Aniversario
Danielespino@edubus.cal,61924,Aniversario
caloro@marmol.com,62940,"Salida con Amigos"
tomacr@edubus.cal,64510,"Cena de Trabajo"
mapabu@viajesanma.com,69128,"Salida con Amigos"
viloal@marmol.com,61245,"Salida con Amigos"
virona@marmol.com,66088,Vacaciones
Alejandropina@viajesanma.com,71624,"Cena de Trabajo"
eduardo3912@tourket.com,62370,Aniversario
diego3113@outluc.com,68538,"Cena de Trabajo"
maelsOear@tourket.com,71738,"Salida con Amigos"
mayte1926@viajesanma.com,66157,"Salida con Amigos"
srvOAfaro@marmol.com,70574,Vacaciones
diego3113@outluc.com,63285,"Cena de Trabajo"
Vicentefajardo@outluc.com,70427,"Cena de Trabajo"
Sr.cano@wass.com,68082,"Salida con Amigos"
ardubo@tourket.com,66706,"Cena de Trabajo"
srerquab@tourket.com,71293,Vacaciones
Sr.quesada@marmol.com,65464,"Cena de Trabajo"
cOoceig@viajesanma.com,65859,"Cena de Trabajo"
Clementemayorga@outluc.com,65972,"Salida con Amigos"
romatOI@marmol.com,62035,Aniversario
jesOUs7266@outluc.com,63894,Vacaciones
pilar6460@tourket.com,70661,"Salida con Amigos"
javier2171@viajesanma.com,69257,Aniversario
hernOen2484@wass.com,64148,Vacaciones
Rosariosauceda@tourket.com,63400,Vacaciones
rozahe@wass.com,70880,Aniversario
