nombre,run,Dv,Correo,Nombre_usuario,Contrasena,Telefono_contacto,Puntos,Codigo_agenda,Etiqueta,Codigo_reserva,Fecha,Monto,Cantidad_personas
nombre,,,,nombre_usuario,contrasena,"+56 9 0tel efono_contacto",0,,etiqueta,,--,,
"Rodrigo Parra Adame",3763600,2,,Rodrigoadame,oCzMT1HV,"+56 9 9413 4683",4509,62294,"Salida con Familia",537589,2025-01-20,1176000,8
"Verónica Yáñez Aragón",,,veyOear@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536195,2025-01-21,365000,5
"Verónica Yáñez Aragón",,,veyOear@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536196,2025-02-08,1815000,5
"Verónica Yáñez Aragón",,,veyOear@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536203,2025-02-03,1500000,5
"José Urías Arce",22594065,7,,jourar,FO3hK5sAr60tM3Qv,"+56 9 1011 3842",3631,68618,"Salida con Familia",536210,2025-03-17,630000,7
"José Urías Arce",22594065,7,,jourar,FO3hK5sAr60tM3Qv,"+56 9 1011 3842",3631,68618,"Salida con Familia",536211,2025-02-23,777000,7
"Gregorio Navarrete Lomeli",,,grnalo@edubus.cal,Gregoriolomeli,YJZzx84C,"+56 9 3662 8276",3952,70893,"Cena de Trabajo",536219,2025-01-14,1240000,4
"Jorge Medrano Rubio",,,Jorgerubio@viajesanma.com,jorge3958,Cu98ekEN1VCjp,"+56 9 9525 0318",7290,68425,"Salida con Familia",536223,2025-08-16,325000,5
"Jorge Medrano Rubio",,,Jorgerubio@viajesanma.com,jorge3958,Cu98ekEN1VCjp,"+56 9 9525 0318",7290,68425,"Salida con Familia",536230,2026-05-12,630000,5
"Antonio Archuleta Nájera",,,anarnOe@marmol.com,antonio6129,4N7Das6S0zIa,"+56 2 4217 4189",5875,64076,"Cena de Trabajo",536246,2025-05-11,1920000,4
"Antonio Archuleta Nájera",,,anarnOe@marmol.com,antonio6129,4N7Das6S0zIa,"+56 2 4217 4189",5875,64076,"Cena de Trabajo",536254,2025-01-24,1356000,4
"Antonio Archuleta Nájera",,,anarnOe@marmol.com,antonio6129,4N7Das6S0zIa,"+56 2 4217 4189",5875,64076,"Cena de Trabajo",536257,2025-05-02,292000,4
"Raquel Elizondo Solís",,,raquel2524@tourket.com,raquel4703,x2VPsyIR8,"+56 2 3654 2641",4058,61747,"Salida con Familia",536269,2026-04-13,693000,7
"Dolores Estévez Caldera",,,dolores9456@edubus.cal,doesca,DRj9nPfijLq584MD,"+56 9 0355 7055",892,64727,"Salida con Familia",536280,2025-04-19,158000,2
"Dolores Estévez Caldera",,,dolores9456@edubus.cal,doesca,DRj9nPfijLq584MD,"+56 9 0355 7055",892,64727,"Salida con Familia",536281,2025-03-12,232000,2
"Dolores Estévez Caldera",,,dolores9456@edubus.cal,doesca,DRj9nPfijLq584MD,"+56 9 0355 7055",892,64727,"Salida con Familia",536289,2025-02-24,164000,2
"Esteban Robles Godoy",,,Estebangodoy@marmol.com,esteban9301,O70v99F9zsNe,"+56 9 4849 3673",9443,66951,Aniversario,536297,2025-08-24,104000,1
"Esteban Robles Godoy",,,Estebangodoy@marmol.com,esteban9301,O70v99F9zsNe,"+56 9 4849 3673",9443,66951,Aniversario,536298,2026-05-02,131000,1
"Esteban Robles Godoy",,,Estebangodoy@marmol.com,esteban9301,O70v99F9zsNe,"+56 9 4849 3673",9443,66951,Aniversario,536299,2025-01-06,82000,1
"María Elena Toro Alejandro",,,,maría2424,hHommL6bn,"+56 2 4812 5763",3358,66492,"Salida con Amigos",536300,2026-04-25,1932000,7
"Blanca Gallegos Montaño",931793,7,Blancamontano@wass.com,blgamo,,,0,65420,Vacaciones,536305,,,2
"Benjamín Córdova Marín",14910264,7,,becóma,ca10i7KiU2VPwOg,"+56 2 6979 0705",8735,71022,"Cena de Trabajo",536310,2026-01-28,1592000,8
"Felipe Godínez Segovia",,,,fegose,J3mv8GarwmXP3ls,"+56 9 0054 6063",6459,71613,"Salida con Familia",536318,2025-11-08,1974000,7
"Felipe Godínez Segovia",,,fegose@viajesanma.com,fegose,J3mv8GarwmXP3ls,"+56 9 0054 6063",6459,71613,"Salida con Familia",536323,2025-11-11,1211000,7
"Felipe Godínez Segovia",,,fegose@viajesanma.com,fegose,J3mv8GarwmXP3ls,"+56 9 0054 6063",6459,71613,"Salida con Familia",536324,2026-01-23,861000,7
"Sta. Rodrigo Ramos Vallejo",,,Sta.vallejo@tourket.com,strorava,z5yk0z9z1hAO,"+56 2 5778 1583",1328,62494,"Salida con Familia",536333,2026-03-15,330000,2
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,alfrga,Eh484WYgHwyf,,2923,,Vacaciones,,,,2
"Sra. Graciela Lozano Aparicio",,,Sra.aparicio@wass.com,sra.1107,f6Fh65zTU4APLUV,"+56 2 6014 5293",1013,71135,"Salida con Familia",536344,2025-01-12,888000,4
"Sra. Graciela Lozano Aparicio",,,Sra.aparicio@wass.com,sra.1107,f6Fh65zTU4APLUV,"+56 2 6014 5293",1013,71135,"Salida con Familia",536347,2025-03-22,352000,4
"Sr. Graciela Aguayo Porras",11228187,8,,Sr.porras,HZjbh3SSl6oE,"+56 2 6948 6440",1915,65035,Aniversario,536354,2026-07-18,783000,9
"Tomás Magaña Cruz",,,tomacr@edubus.cal,tomás978,TlqizFH4u3WXdHq3,"+56 9 1019 0668",3735,64510,"Cena de Trabajo",536373,2025-05-18,3360000,10
