nombre,run,Dv,Correo,Nombre_usuario,Contrasena,Telefono_contacto,Jornada,Isapre,Contrato,Codigo_reserva,Codigo_agenda,Fecha,Monto,Cantidad_personas,Estado_disponibilidad,Numero_viaje,Lugar_origen,Lugar_llegada,Fecha_salida,Fecha_llegada,Capacidad,Tiempo_estimado,Precio_asiento,Empresa,Tipo_de_bus,Comodidades,Escalas,Clase,Paradas
"Pilar Badillo Henríquez",6828753,7,pilar4208@viajes.cl,,qX1HZtAo0WwD,"+56 9 5779 6205",Nocturno,"Más vida","Full time",537521,66202,2025-01-03,,9,,38251,Alcobendas,BADALONA,2025-01-29,2025-01-31,33,,70000,"Pullman Bus",,"{Baño,TV,Wifi}",,,{}
"Raquel Palacios Díaz",27692579,2,raquel8972@viajes.cl,raquel1620,ctT7Id6R,"+56 9 9237 2201",Diurno,Fonasa,"Part time",538434,63031,,990000,9,,96814,Ponferrada,,2025-01-22,2025-01-24,66,2977,110000,,,{},"{Benidorm,Baracaldo,Tarragona,Granollers}",,{}
,3409474,8,sta.8136@viajes.cl,Sta.munguía,mwSX6KxZE8HaHU2,"+56 9 1015 5953",Nocturno,,,540824,,2025-01-02,370000,5,,35801,Ferrol,Sagunto,2025-01-23,2025-01-25,48,3197,74000,Turbus,,"{TV,Agua,Baño}",{},,{}
"Mónica Cornejo Bueno",11279289,9,mOInica8418@viajes.cl,mócobu,,"+56 2 4483 7270",,Banmédica,"Full time",541100,,2025-01-13,2260000,10,,32751,Bilbao,Calahorra,2026-06-08,2026-06-09,41,2321,226000,"ŽFBH (Bosnia y Herzegovina)",,"{Baño,""Aire acondicionado"",Agua,Calefacción,Comida}",{},,"{Ávila,Barcelona,Torremolinos,Irún,Benidorm}"
"Micaela Navarrete Carranza",1695721,6,minaca@viajes.cl,Micaelacarranza,,"+56 9 7435 5693",Diurno,Consalud,"Full time",,67509,2025-01-07,756000,3,,140,,Elche,2025-01-29,2025-01-31,32,3347,252000,Ryanair,,{},"{Murcia,Cádiz,Burgos}",,
"Sr. Martín Cruz Madrid",20028953,6,srmacrma@viajes.cl,,nwlUHDHBzCP3,"+56 2 3535 7338",Diurno,Banmédica,"Full time",542759,,2025-01-03,1932000,,,14586,Logroño,Guadalajara,2025-04-24,2025-04-26,79,3471,322000,"ŽFBH (Bosnia y Herzegovina)",,"{Calefacción,Comida,TV,Agua,Wifi,""Asientos reclinables""}",{},,"{Guadalajara,""San Sebastían de los Reyes""}"
"Sr. Lilia Villaseñor Delafuente",5042221,6,srlivide@viajes.cl,,UW1kUhfN,"+56 2 6867 4822",Diurno,,"Full time",543074,67318,2025-01-29,1127000,7,,76089,madrid,Ponferrada,,2026-02-18,44,1406,161000,Greyhound,,"{""Aire acondicionado"",Agua,Calefacción}",{},,{}
"Sta. Rubén Laboy Cardenas",8101279,2,Sta.cardenas@viajes.cl,strulaca,bhFeOO7kuTQgJxZ,"+56 2 7545 9023",Nocturno,Consalud,"Full time",544564,64199,2025-04-15,,6,,48463,,Mérida,,2025-05-23,43,2964,152000,Andesmar,,,{},,{}
"Leticia Carranza Rodrígez",28442109,4,leticia5087@viajes.cl,leticia3452,,"+56 2 7338 3345",Diurno,Fonasa,"Full time",546494,70762,2025-03-24,416000,4,,91327,,CornelládeLlobregat,2025-06-25,2025-06-26,,2436,104000,"Southwest Airlines",,{},,,{}
,12232872,4,Sr.puente@viajes.cl,srseozpu,d52WbZC5U,"+56 2 9226 1282",Nocturno,"Más vida","Part time",548535,69290,2025-04-29,,,,78189,CornelládeLlobregat,Badalona,2026-03-05,2026-03-06,42,,108000,"Buses Romani",,"{Agua,""Aire acondicionado"",TV}",{},,{}
"Ariadna Rincón Serrato",6804556,8,ariadna9917@viajes.cl,arrise,vj3QHwfVUEi1hQh,"+56 9 1938 1515",Nocturno,Fonasa,,549449,70829,2025-03-03,1146000,3,,80368,Alcobendas,RoquetasdeMar,2025-08-25,2025-08-27,13,,382000,,,"{Baño,Calefacción,TV,""Asientos reclinables"",Wifi,Comida,""Aire acondicionado""}",{},,"{Torremolinos,Majadahonda}"
